Date,Open,Close,Label
20-04-2011,17.621,17.702,__label__2
21-04-2011,17.778999,17.490999,__label__2
25-04-2011,17.444,17.636,__label__1
26-04-2011,17.709,17.700001,__label__2
27-04-2011,17.66,17.686001,__label__1
28-04-2011,17.518,17.365,__label__1
29-04-2011,17.225,17.209999,__label__1
02-05-2011,17.1,17.004999,__label__1
03-05-2011,16.790001,16.372,__label__1
04-05-2011,16.440001,16.320999,__label__2
05-05-2011,16.091999,16.26,__label__1
06-05-2011,16.604,16.455999,__label__2
09-05-2011,16.49,16.355,__label__2
10-05-2011,16.285,16.259001,__label__1
11-05-2011,16.264,16.118,__label__2
12-05-2011,15.903,15.988,__label__1
13-05-2011,16.030001,15.868,__label__2
16-05-2011,15.772,15.717,__label__1
17-05-2011,15.65,15.706,__label__1
18-05-2011,15.783,15.902,__label__2
19-05-2011,15.871,15.775,__label__1
20-05-2011,15.85,15.725,__label__2
23-05-2011,15.532,15.479,__label__1
24-05-2011,15.499,15.538,__label__2
25-05-2011,15.466,15.434,__label__1
26-05-2011,15.547,16.073,__label__2
27-05-2011,16.299,16.103001,__label__2
31-05-2011,16.360001,16.283001,__label__2
01-06-2011,16.281,16.106001,__label__1
02-06-2011,16.207001,16.247999,__label__2
03-06-2011,16.174,16.08,__label__1
06-06-2011,16.236,16.233,__label__2
07-06-2011,16.325001,16.341,__label__2
08-06-2011,16.344999,16.336,__label__2
09-06-2011,16.35,16.591,__label__2
10-06-2011,16.351,16.378,__label__1
13-06-2011,16.399,16.379,__label__2
14-06-2011,16.48,16.51,__label__2
15-06-2011,16.384001,16.139,__label__1
16-06-2011,16.229,16.058001,__label__2
17-06-2011,16.299,15.869,__label__2
20-06-2011,15.654,15.757,__label__1
21-06-2011,16.042,16.194,__label__2
22-06-2011,16.070999,15.866,__label__1
23-06-2011,15.749,15.902,__label__1
24-06-2011,16.179001,16.382,__label__2
27-06-2011,16.410999,16.608999,__label__2
28-06-2011,16.65,16.861,__label__2
29-06-2011,17.198,17.211,__label__2
30-06-2011,17.368999,17.639,__label__2
01-07-2011,17.236,17.587,__label__1
05-07-2011,17.618999,18.028999,__label__2
06-07-2011,17.907,18.002001,__label__1
07-07-2011,18.232,18.256001,__label__2
08-07-2011,18.069,18.153,__label__1
11-07-2011,17.893999,17.608999,__label__1
12-07-2011,17.444,17.361,__label__1
13-07-2011,17.698999,17.809999,__label__2
14-07-2011,17.884001,17.736,__label__2
15-07-2011,17.73,17.801001,__label__1
18-07-2011,17.773001,17.761,__label__1
19-07-2011,17.620001,18.156,__label__1
20-07-2011,17.943001,17.957001,__label__1
21-07-2011,17.809,17.782,__label__1
22-07-2011,17.849001,18.093,__label__2
25-07-2011,18.305,18.184999,__label__2
26-07-2011,18.120001,18.129999,__label__1
27-07-2011,18.15,17.584999,__label__2
28-07-2011,17.395,17.334999,__label__1
29-07-2011,17.219999,17.379999,__label__1
01-08-2011,17.625,17.51,__label__2
02-08-2011,17.200001,17.18,__label__1
03-08-2011,17.17,17.110001,__label__1
04-08-2011,16.799999,16.325001,__label__1
05-08-2011,16.475,16.264999,__label__2
08-08-2011,15.775,15.195,__label__1
09-08-2011,15.9,16.775,__label__2
10-08-2011,16.629999,15.97,__label__1
11-08-2011,16.195,16.665001,__label__2
12-08-2011,16.504999,16.535,__label__1
15-08-2011,16.725,16.795,__label__2
16-08-2011,16.434999,16.245001,__label__1
17-08-2011,16.415001,16.450001,__label__2
18-08-2011,15.905,15.705,__label__1
19-08-2011,15.525,15.49,__label__1
22-08-2011,15.76,15.485,__label__2
23-08-2011,15.685,15.935,__label__2
24-08-2011,15.805,15.675,__label__1
25-08-2011,15.555,15.18,__label__1
26-08-2011,15.1,15.15,__label__1
29-08-2011,15.695,15.61,__label__2
30-08-2011,15.75,16.33,__label__2
31-08-2011,16.469999,16.68,__label__2
01-09-2011,16.77,16.674999,__label__2
02-09-2011,16.309999,15.98,__label__1
06-09-2011,15.625,16.17,__label__1
07-09-2011,16.469999,16.709999,__label__2
08-09-2011,16.445,16.719999,__label__1
09-09-2011,16.465,15.79,__label__1
12-09-2011,15.41,15.4,__label__1
13-09-2011,15.395,15.39,__label__1
14-09-2011,15.54,15.63,__label__2
15-09-2011,15.85,15.685,__label__2
16-09-2011,15.685,15.725,__label__1
19-09-2011,15.4,15.505,__label__1
20-09-2011,15.635,15.66,__label__2
21-09-2011,15.645,15.27,__label__1
22-09-2011,14.815,14.205,__label__1
23-09-2011,14.165,14.35,__label__1
26-09-2011,14.335,14.585,__label__1
27-09-2011,15.025,15.05,__label__2
28-09-2011,15.03,14.69,__label__1
29-09-2011,15.065,15.345,__label__2
30-09-2011,15.035,14.575,__label__1
03-10-2011,14.33,13.91,__label__1
04-10-2011,13.73,14.05,__label__1
05-10-2011,13.935,14.64,__label__1
06-10-2011,14.7,15.005,__label__2
07-10-2011,15,14.745,__label__1
10-10-2011,15.14,15.305,__label__2
11-10-2011,15.15,14.99,__label__1
12-10-2011,15.26,15.745,__label__2
13-10-2011,15.555,15.52,__label__1
14-10-2011,15.765,15.58,__label__2
17-10-2011,15.5,15.615,__label__1
18-10-2011,15.68,15.895,__label__2
19-10-2011,15.86,16.030001,__label__1
