Dates,Headlines
27 Feb 2017,Varun Beverages raises Rs 300 cr via debentures
27 Feb 2017,"Buy, sell, hold: 6 stocks analysts are watching out"
27 Feb 2017,Counter bids for Axis Bank likely; board holds key: Jefferies
24 Feb 2017,We haven't been approached by anyone: Axis Bank's Shikha Sharma
23 Feb 2017,SBI to merge with associates from April 1
22 Feb 2017,"COMMENT: Axis Bank suitor list grows, but Kotak unlikely to overpay"
22 Feb 2017,"Sell Kotak Bank, Century Textiles; buy Coal India: Gujral"
22 Feb 2017,Axis Bank's NPA woes may stall merger plans with Kotak: Analyst
22 Feb 2017,Here's why private banks may have shown interest in Axis Bank
21 Feb 2017,No communication on Axis-Kotak merger: Finmin sources
21 Feb 2017,Tulsian tells: Why govt could divest its stake in Axis Bank
20 Feb 2017,"Buy, sell, hold: 7 stocks analysts are watching out"
17 Feb 2017,"Sell Kotak Mah Bank, Axis Bank, IndusInd Bank: Ashwani Gujral"
17 Feb 2017,Pick Kotak Mahindra Bank: Ashwani Gujral
17 Feb 2017,"Buy, sell, hold: 6 stocks that analysts are watching out"
16 Feb 2017,"Bad bank is a good idea, says Uday Kotak"
15 Feb 2017,COMMENT: Kotak & Axis - good together or better alone?
14 Feb 2017,"Buy Kotak Bank, Bharat Forge, Exide Industries: Chandan Taparia"
13 Feb 2017,"Kotak Conference: Pvt investment may turn positive in 9-12 months, says Expert"
13 Feb 2017,"Buy Kotak Mahindra Bank, Dish TV: Mitessh Thakkar"
10 Feb 2017,World could see a protectionism mega trend: Uday Kotak
10 Feb 2017,"Buy Grasim Industries, Kotak Mahindra Bank: Mitessh Thakkar"
09 Feb 2017,"Buy Kotak Mahindra Bank, ITC: Rahul Mohindar"
09 Feb 2017,Kotak-Axis merger in the works? Both banks say no
07 Feb 2017,"Buy HPCL, Kotak Bank, Edelweiss Financial: Ashwani Gujral"
01 Feb 2017,RBI asks Kotak Mahindra to cut promoter stake to 15% by 2020
30 Jan 2017,Hold Kotak Mahindra Bank; target of Rs 840: ICICI Direct
27 Jan 2017,Buy Kotak Mahindra Bank; target of Rs 940: Motilal Oswal
27 Jan 2017,Buy Kotak Mahindra Bank; target of Rs 936: HDFC Securities
27 Jan 2017,"How new-gen Kotak, IndusInd, Yes banks beat older rivals on NPAs"
27 Jan 2017,"Buy Bata, Kotak Bank, M&M, NLC India, ACC: Mitessh Thakkar"
27 Jan 2017,"Buy, sell, hold: How to trade 8 key stocks post Q3 results?"
25 Jan 2017,Here is why SP Tulsian bets on bank stocks
25 Jan 2017,Flexible product mix helped Kotak keep slippages in check: Diwan
25 Jan 2017,"Buy UPL, Dewan Housing, Capital First: Ashwnai Gujral"
25 Jan 2017,"Kotak Mahindra Bank Q3 profit zooms 39%, asset quality improves"
24 Jan 2017,"Kotak Mahindra Bank Q3 profit seen up 27%, loan growth key"
23 Jan 2017,"Buy Vedanta, Kotak Bank, GAIL India, HUL: Ashwani Gujral"
20 Jan 2017,"Kotak Bk, Canada Pension set to close $525 mn Special Fund: Srcs"
19 Jan 2017,Here is why SP Tulsian is bullish on Yes Bank
18 Jan 2017,Here is why SP Tulsian is positive on Federal Bank
17 Jan 2017,PTC India a big beneficiary of rising power demand: SP Tulsian
16 Jan 2017,BSE's international exchange goes live for trading
16 Jan 2017,Kotak Mahindra stake buy in MCX under lens (Exclusive)
16 Jan 2017,"Buy Kotak Mahindra Bank, Arvind: Mitessh Thakkar"
16 Jan 2017,"Buy HDIL, Kotak Mahindra Bank, Century Textiles: Ashwani Gujral"
13 Jan 2017,Axis Bank cuts MCLR by up to 70 bps
13 Jan 2017,Indian banks strengthen presence at DIFC
13 Jan 2017,"Airtel rolls out payments bank, to invest Rs 3,000 cr"
10 Jan 2017,"Tulsian's preferred picks in transmission, bank & tyre sectors"
09 Jan 2017,"Bull's Eye: Buy PNB, Biocon, Ashok Leyland, Exide, BoB"
06 Jan 2017,Kotak Mahindra Bank revises base rate downwards by 10bps
05 Jan 2017,BoB reduces MCLR by up to 75 bps
04 Jan 2017,"Buy HDIL, HCL Technologies; sell Kotak Mahindra Bank: Wagle"
04 Jan 2017,"Buy Ashok Leyland, NCC; sell Kotak Mahindra Bank: Ashwani Gujral"
03 Jan 2017,"Loan growth to remain cautious, cash ban positive for NPL: Kotak"
03 Jan 2017,"Sell Infosys, Kotak Bank; buy Sun TV Network: Ashwani Gujral"
