Date,Open Price,Close Price,Label
04-Oct-11,2447.1,2440.7,__label__1
03-Oct-11,2483,2476.35,__label__2
30-Sep-11,2529,2533.8,__label__2
29-Sep-11,2475,2550,__label__1
28-Sep-11,2480,2474.85,__label__1
27-Sep-11,2376.9,2446,__label__1
26-Sep-11,2342.55,2355.15,__label__1
23-Sep-11,2336,2340.1,__label__1
22-Sep-11,2384,2353.6,__label__2
21-Sep-11,2436.2,2433.4,__label__2
20-Sep-11,2375,2437.7,__label__1
19-Sep-11,2392.2,2361.65,__label__1
16-Sep-11,2440,2393.4,__label__2
15-Sep-11,2377,2405.55,__label__1
14-Sep-11,2247.1,2353.05,__label__1
13-Sep-11,2226,2224.4,__label__1
12-Sep-11,2219,2197.75,__label__1
09-Sep-11,2331,2271.2,__label__2
08-Sep-11,2304,2338.65,__label__2
07-Sep-11,2301,2291.2,__label__1
06-Sep-11,2250.1,2303.4,__label__1
05-Sep-11,2287.9,2263.85,__label__1
02-Sep-11,2370,2315.55,__label__2
30-Aug-11,2325.7,2342.8,__label__2
29-Aug-11,2235.2,2297.85,__label__1
26-Aug-11,2189.9,2204.55,__label__1
25-Aug-11,2245,2189.65,__label__2
24-Aug-11,2280,2249.95,__label__2
23-Aug-11,2204.6,2274,__label__1
22-Aug-11,2217.9,2194.05,__label__1
19-Aug-11,2272,2225.4,__label__2
18-Aug-11,2465,2362.05,__label__2
17-Aug-11,2400,2449.15,__label__2
16-Aug-11,2411.25,2392.65,__label__1
12-Aug-11,2482.05,2374.45,__label__2
11-Aug-11,2428.05,2438.95,__label__2
10-Aug-11,2454,2445.6,__label__2
09-Aug-11,2398,2377.1,__label__1
08-Aug-11,2500,2468,__label__2
05-Aug-11,2660,2590.55,__label__2
04-Aug-11,2737.6,2708.3,__label__2
03-Aug-11,2739,2732.05,__label__2
02-Aug-11,2804.95,2752.85,__label__2
01-Aug-11,2780,2809.15,__label__2
29-Jul-11,2745,2766.8,__label__1
28-Jul-11,2775,2747.4,__label__2
27-Jul-11,2800,2796.05,__label__2
26-Jul-11,2803.05,2799.6,__label__2
25-Jul-11,2819.4,2806.6,__label__2
22-Jul-11,2778,2825.35,__label__1
21-Jul-11,2751.9,2767.3,__label__1
20-Jul-11,2765,2751.65,__label__1
19-Jul-11,2727.8,2753.35,__label__1
18-Jul-11,2744.9,2714.05,__label__1
15-Jul-11,2740.95,2730.55,__label__2
14-Jul-11,2764.95,2740.95,__label__2
13-Jul-11,2767,2784.2,__label__2
12-Jul-11,2850,2794.25,__label__2
11-Jul-11,2945,2919,__label__2
08-Jul-11,3000,2977.9,__label__2
07-Jul-11,2955,2995.15,__label__1
06-Jul-11,2948,2952.55,__label__1
05-Jul-11,2943,2954.5,__label__1
04-Jul-11,2950,2938.9,__label__1
01-Jul-11,2930,2934.3,__label__1
30-Jun-11,2875,2907.4,__label__1
29-Jun-11,2866.2,2881.75,__label__1
28-Jun-11,2871,2863.85,__label__1
27-Jun-11,2833,2867.85,__label__1
24-Jun-11,2794,2862.1,__label__1
23-Jun-11,2750,2774.15,__label__1
22-Jun-11,2754.1,2748,__label__1
21-Jun-11,2717,2726.45,__label__1
20-Jun-11,2777,2708.9,__label__2
17-Jun-11,2808.8,2764.4,__label__2
16-Jun-11,2824,2800.55,__label__2
15-Jun-11,2860,2833.9,__label__2
14-Jun-11,2873,2873.45,__label__2
13-Jun-11,2850,2877.55,__label__1
10-Jun-11,2864.05,2861.6,__label__1
09-Jun-11,2875.35,2861.5,__label__2
08-Jun-11,2889,2872.2,__label__2
07-Jun-11,2828,2892.75,__label__1
06-Jun-11,2817,2838.45,__label__1
03-Jun-11,2818,2813.5,__label__1
02-Jun-11,2784.9,2802.75,__label__1
01-Jun-11,2794,2812,__label__1
31-May-11,2783,2791.85,__label__1
30-May-11,2800,2780.2,__label__2
27-May-11,2765,2787.95,__label__1
26-May-11,2796,2779.3,__label__2
25-May-11,2825,2795,__label__2
24-May-11,2840,2845.05,__label__2
23-May-11,2846,2835.7,__label__2
20-May-11,2846,2850.55,__label__2
19-May-11,2850,2846.35,__label__1
18-May-11,2855,2840.75,__label__2
17-May-11,2848,2843.95,__label__2
16-May-11,2877.4,2849.75,__label__2
13-May-11,2892.7,2880.05,__label__2
12-May-11,2895,2882.4,__label__2
11-May-11,2885,2904.2,__label__2
10-May-11,2909,2880.4,__label__2
09-May-11,2914.8,2903.7,__label__2
06-May-11,2867.4,2886.9,__label__1
05-May-11,2867,2843.1,__label__1
04-May-11,2905,2867.5,__label__2
03-May-11,2922.9,2910.75,__label__2
02-May-11,2924.7,2923.35,__label__2
29-Apr-11,2920,2905.95,__label__1
28-Apr-11,2952.9,2931.55,__label__2
