Time,Dates,Sources,Headlines
11.19 am , 29 Sep 2012 ,   Source: Moneycontrol.com,What is the new drug pricing policy?
12.35 pm , 25 Sep 2012 ,   Source: CNBC-TV18,"See good upside in Dr Reddy's, Divis, Torrent Pharma: IIFL"
8.24 pm , 31 Jul 2012 ,   Source: Moneycontrol.com,Torrent Pharma Jun '12 sales at Rs 649.10 crore
11.19 am , 24 Jul 2012 ,   Source: Moneycontrol.com,Torrent Pharma appoint Directors
9.36 pm , 23 Jul 2012 ,   Source: PTI,Torrent Pharma Q1 net profit at Rs 103 cr
10.40 am , 17 Jul 2012 ,   Source: CNBC-TV18,Enter Torrent Pharmaceuticals on dips: Anu Jain
11.43 am , 19 May 2012 ,   Source: Moneycontrol.com,Torrent Pharma posts loss of Rs 2 cr in Q4
12.58 pm , 18 May 2012 ,   Source: Moneycontrol.com,"Dr Reddy's, Aurobindo get US nod for generic cardiac drug"
1.37 pm , 14 Jan 2012 ,   Source: Moneycontrol.com,"Pharma Q3: New launches, generic drug demand to aid growth"
6.34 pm , 10 Jan 2012 ,   Source: Moneycontrol.com,Pharmaceutical results preview for Q3FY12: Emkay
