Time,Dates,Sources,Headlines
6.14 pm , 23 Aug 2012 ,   Source: CNBC-TV18,"Infosys top pick in IT space, says Dilip Bhat"
11.59 am , 23 Aug 2012 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 2850: Prabhudas Lilladher
11.16 am , 22 Aug 2012 ,   Source: CNBC-TV18,Book profits in Infosys between Rs 2440-2550: Manghnani
10.14 am , 22 Aug 2012 ,   Source: Moneycontrol.com,Buy Infosys; target of Rs 2850: Prabhudas Lilladher
7.07 pm , 21 Aug 2012 ,   Source: CNBC-TV18,"Exit Infosys at current levels, says Baliga"
4.13 pm , 21 Aug 2012 ,   Source: Reuters,Second whistleblower claims also unfounded: Infosys
1.34 pm , 21 Aug 2012 ,   Source: PTI,'Infosys victory may deter copycat lawsuits'
10.44 am , 21 Aug 2012 ,   Source: Moneycontrol.com,"Sukhani's view on Infosys, Tata Power, Tata Motors"
8.56 am , 21 Aug 2012 ,   Source: CNBC-TV18,"Buy Infosys, says Sudarshan Sukhani"
8.40 am , 21 Aug 2012 ,   Source: PTI,US court dismisses harassment case against Infosys
3.13 pm , 16 Aug 2012 ,   Source: CNBC-TV18,Infosys US visa case pushed to next month
8.44 pm , 10 Aug 2012 ,   Source: CNBC-TV18,Infosys concludes internal probe on harassment allegations
5.41 pm , 09 Aug 2012 ,   Source: CNBC-TV18,Infosys bags Rs 700cr project from India Post
1.30 pm , 09 Aug 2012 ,   Source: CNBC-TV18,Edelweiss lists 4 stocks you should bet on post results
12.46 pm , 09 Aug 2012 ,   Source: Moneycontrol.com,"Infosys, Lakshmi Machine top trading picks: GEPL Capital"
12.46 pm , 09 Aug 2012 ,   Source: Moneycontrol.com,Another ex-employee files suit against Infosys in US
10.18 pm , 07 Aug 2012 ,   Source: CNBC-TV18,Plot thickens: Infosys alleges Palmer forged documents
9.51 am , 27 Jul 2012 ,   Source: CNBC-TV18,"Below Rs 207, Tata Motors may test Rs 180-185: Manghnani"
11.33 am , 26 Jul 2012 ,   Source: CNBC-TV18,Infosys can test Rs 2260: Nomura
10.49 am , 26 Jul 2012 ,   Source: CNBC-TV18,HCL Tech remains top pick with target of Rs 630: Nomura
9.36 pm , 24 Jul 2012 ,   Source: Moneycontrol.com,Palmer vs Infosys mediation begins today
