Time,Dates,Sources,Headlines
3.41 pm , 12 Nov 2014 ,   Source: CNBC-TV18,"Prefer YES Bank, Bank of Baroda: Mayuresh Joshi"
4.29 pm , 09 Nov 2014 ,   Source: PTI,It's time we stop over-dependence on 'fickle FIIs': Parekh
7.03 pm , 03 Nov 2014 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 750: Sushil Finance
5.16 pm , 03 Nov 2014 ,   Source: CNBC-TV18,"Buy IndusInd Bank, Federal Bank on dips: Parag Thakkar"
2.05 pm , 31 Oct 2014 ,   Source: Moneycontrol.com,IndusInd Bank's director Ajay Hinduja resigns
12.27 pm , 30 Oct 2014 ,   Source: CNBC-TV18,'YES Bank posted strong Q2 nos; accumulate on stock'
1.37 pm , 20 Oct 2014 ,   Source: CNBC-TV18,IndusInd Bank may test Rs 710: Rahul Shah
3.22 pm , 17 Oct 2014 ,   Source: CNBC-TV18,"Hold IndusInd Bank, advises Kunal Bothra"
2.12 pm , 16 Oct 2014 ,   Source: CNBC-TV18,IndusInd Bank may touch Rs 660-670: Kunal Bothra
2.02 pm , 16 Oct 2014 ,   Source: CNBC-TV18,"Buy IndusInd Bank, Tata Chemicals: Kunal Bothra"
12.20 pm , 16 Oct 2014 ,   Source: CNBC-TV18,"Buy IndusInd Bank, UPL, LIC Housing Finance: Kunal Saraogi"
8.52 am , 16 Oct 2014 ,   Source: CNBC-TV18,"Bull's Eye: Buy Glenmark, HPCL, Sintex, IndusInd Bank"
4.19 pm , 14 Oct 2014 ,   Source: Moneycontrol.com,Hold IndusInd Bank; tgt of Rs 685: Arihant capital market
4.16 pm , 14 Oct 2014 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 715: KRChoksey
3.38 pm , 14 Oct 2014 ,   Source: Moneycontrol.com,Buy IndusInd Bank; target of Rs 714: ICICIdirect
2.47 pm , 14 Oct 2014 ,   Source: CNBC-TV18,"Buy Tata Power, REC, IndusInd Bank: Sudarshan Sukhani"
2.24 pm , 14 Oct 2014 ,   Source: Moneycontrol.com,Accumulate IndusInd Bank; target of Rs 690: PLilladher
2.16 pm , 14 Oct 2014 ,   Source: Moneycontrol.com,Hold IndusInd Bank; target of Rs 650: Emkay
11.16 am , 14 Oct 2014 ,   Source: CNBC-TV18,"Buy IndusInd Bank, advises Sudarshan Sukhani"
5.00 pm , 13 Oct 2014 ,   Source: CNBC-TV18,Buy IndusInd Bank at target of Rs 714: ICICI Direct
4.40 pm , 13 Oct 2014 ,   Source: CNBC-TV18,"Buy IndusInd Bank, advises Sudarshan Sukhani"
2.18 pm , 13 Oct 2014 ,   Source: Moneycontrol.com,IndusInd Bank Q2 profit up 30% to Rs 430 cr on other income
11.56 am , 13 Oct 2014 ,   Source: CNBC-TV18,"YES Bank, IndusInd to post good Q2 results: Edelweiss"
10.05 am , 13 Oct 2014 ,   Source: CNBC-TV18,IndusInd Bank Q2 profit may jump 25% to Rs 412 cr: Poll
