Date,Open,High,Low,Close,Adj Close,Volume
2012-06-08,341.549988,346.850006,338.100006,343.924988,292.522797,169832
2012-06-11,347.000000,348.450012,338.524994,340.049988,289.226929,116812
2012-06-12,339.250000,349.700012,337.500000,347.649994,295.691040,162888
2012-06-13,345.549988,346.000000,338.024994,341.549988,290.502747,322252
2012-06-14,342.325012,346.950012,338.674988,340.049988,289.226929,155800
2012-06-15,342.500000,349.899994,342.000000,348.700012,296.584137,375124
2012-06-18,350.000000,354.825012,341.700012,345.524994,293.883698,233618
2012-06-19,345.250000,349.875000,345.000000,347.500000,295.563446,147756
2012-06-20,350.000000,351.250000,346.274994,347.299988,295.393341,116744
2012-06-21,346.500000,348.250000,341.200012,347.500000,295.563446,251348
2012-06-22,347.000000,351.500000,344.524994,348.700012,296.584137,130372
2012-06-25,352.500000,353.649994,343.000000,344.674988,293.160706,134586
2012-06-26,343.000000,349.950012,342.600006,346.924988,295.074402,99580
2012-06-27,348.125000,350.149994,342.875000,346.075012,294.351471,111244
2012-06-28,347.125000,350.500000,342.524994,344.825012,293.288269,164146
2012-06-29,348.500000,356.375000,348.500000,353.450012,300.624237,241010
2012-07-02,355.250000,358.899994,351.000000,356.875000,303.537323,289192
2012-07-03,357.625000,360.500000,356.075012,358.274994,304.728088,152292
2012-07-04,359.950012,363.774994,358.500000,359.299988,305.599854,176298
2012-07-05,359.250000,363.000000,358.049988,361.375000,307.364746,167390
2012-07-06,361.075012,366.500000,361.049988,365.549988,310.915771,332700
2012-07-09,362.850006,368.500000,362.850006,364.649994,310.150269,225528
2012-07-10,367.450012,368.500000,365.149994,366.899994,312.063995,164756
2012-07-11,365.000000,369.250000,364.125000,366.475006,311.702515,120936
2012-07-12,359.950012,361.950012,357.750000,358.799988,315.951324,191204
2012-07-13,360.950012,362.500000,358.075012,360.024994,317.030029,277144
2012-07-16,361.850006,363.975006,358.000000,358.850006,315.995300,114116
2012-07-17,359.750000,362.424988,351.549988,354.350006,312.032745,454912
